,inchikey,hmdb,kegg,smiles
C11118_1-Methyl-2-pyrrolidinone,SECXISVLQFMRJM-UHFFFAOYSA-N,HMDB0002039,C11118,CN1CCCC1=O
C09815_Benzamide,KXDAEFPNCMNJSK-UHFFFAOYSA-N,HMDB0004461,C09815,C1=CC=C(C=C1)C(=O)N
C05659_5-Methoxytryptamine,JTEJPPKMYBDEMY-UHFFFAOYSA-N,HMDB0004095,C05659,COC1=CC2=C(C=C1)NC=C2CCN
C01047_N-gamma-Ethylglutamine,DATAGRPVKZEWHA-YFKPBYRVSA-N,HMDB0034365,C01047,CCNC(=O)CC[C@@H](C(=O)O)N
C00672_2-Deoxyribose 1-phosphate,KBDKAJNTYKVSEK-VPENINKCSA-N,HMDB0001351,C00672,C1[C@@H]([C@H](O[C@@H]1OP(=O)(O)O)CO)O
C03404_Tyrosine methyl ester,MWZPENIJLUWBSY-VIFPVBQESA-N,HMDB0029217,C03404,COC(=O)[C@H](CC1=CC=C(C=C1)O)N
C05198_5'-Deoxyadenosine,XGYIMTFOTBMPFP-KQYNXXCUSA-N,HMDB0001983,C05198,C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O
"C08309_5-Methoxy-N,N-dimethyltryptamine",ZSTKHSQDNIGFLM-UHFFFAOYSA-N,HMDB0002004,C08309,CN(C)CCC1=CNC2=C1C=C(C=C2)OC
C06470_Muramate,MSFSPUZXLOGKHJ-PGYHGBPZSA-N,HMDB0003254,C06470,C[C@H](C(=O)O)O[C@H]1[C@@H]([C@H](OC([C@@H]1N)O)CO)O
C08306_Hexylamine,BMVXCPBXGZKUPN-UHFFFAOYSA-N,HMDB0032323,C08306,CCCCCCN
C10898_2-Guanidinobenzimidazole,JJWCTKUQWXYIIU-UHFFFAOYSA-N,,C10898,C1=CC=C2C(=C1)NC(=N2)N=C(N)N
C09209_Harman,PSFDQSOCUJVVGF-UHFFFAOYSA-N,HMDB0035196,C09209,CC1=NC=CC2=C1NC3=CC=CC=C23
C01672_Cadaverine,VHRGRCVQAFMJIZ-UHFFFAOYSA-N,HMDB0002322,C01672,C(CCN)CCN
C01601_Pelargonate,FBUKVWPVBMHYJY-UHFFFAOYSA-N,HMDB0000847,C01601,CCCCCCCCC(=O)O
C00055_CMP,IERHLVCPSMICTF-XVFCMESISA-N,HMDB0000095,C00055,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O
C01494_trans-4-Hydroxy-3-methoxycinnamate,KSEBMYQBYZTDHS-HWKANZROSA-N,HMDB0000954,C01494,COC1=C(C=CC(=C1)/C=C/C(=O)O)O
C00026_2-Oxoglutarate,KPGXRSRHYNQIFN-UHFFFAOYSA-N,HMDB0000208,C00026,C(CC(=O)O)C(=O)C(=O)O
C00186_Lactate,JVTAAEKCZFNVCJ-REOHCLBHSA-N,HMDB0000190,C00186,C[C@@H](C(=O)O)O
C00257_Gluconate,RGHNJXZEOKUKBD-SQOUGZDYSA-N,HMDB0000625,C00257,C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)O
C00097_Cys,XUJNEKJLAYXESH-REOHCLBHSA-N,HMDB0000574,C00097,C([C@@H](C(=O)O)N)S
C05582_Homovanillate,QRMZSPFSDQBLIX-UHFFFAOYSA-N,HMDB0000118,C05582,COC1=C(C=CC(=C1)CC(=O)O)O
C00729_Tropine,CYHOMWAPJJPNMW-UHFFFAOYSA-N,METPA0074,C00729,CN1C2CCC1CC(C2)O
C00037_Gly,DHMQDGOQFOQNFH-UHFFFAOYSA-N,HMDB0000123,C00037,C(C(=O)O)N
C01996_Acetylcholine,OIPILFWXSMYKGL-UHFFFAOYSA-N,HMDB0000895,C01996,CC(=O)OCC[N+](C)(C)C
C03794_Adenylosuccinate,OFBHPPMPBOJXRT-VWJPMABRSA-N,HMDB0000536,C03794,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N[C@@H](CC(=O)O)C(=O)O
C00206_dADP,DAEAPNUQQAICNR-RRKCRQDMSA-N,HMDB0001508,C00206,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)OP(=O)(O)O)O
C01029_N8-Acetylspermidine,FONIWJIDLJEJTL-UHFFFAOYSA-N,HMDB0002189,C01029,CC(=O)NCCCCNCCCN
C00245_Taurine,XOAAWQZATWQOTB-UHFFFAOYSA-N,HMDB0000251,C00245,C(CS(=O)(=O)O)N
C00705_dCDP,FTDHDKPUHBLBTL-SHYZEUOFSA-N,HMDB0001245,C00705,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)COP(=O)(O)OP(=O)(O)O)O
C00075_UTP,PGAVKCOVUIYSFO-XVFCMESISA-N,HMDB0000285,C00075,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
C00300_Creatine,CVSVTCORWBXHQV-UHFFFAOYSA-N,HMDB0000064,C00300,CN(CC(=O)O)C(=N)N
C00931_Porphobilinogen,QSHWIQZFGQKFMA-UHFFFAOYSA-N,HMDB0000245,C00931,C1=C(C(=C(N1)CN)CC(=O)O)CCC(=O)O
C00085_F6P,BGWGXPAPYGQALX-VRPWFDPXSA-N,HMDB0000124,C00085,C([C@@H]1[C@H]([C@@H](C(O1)(CO)O)O)O)OP(=O)(O)O
C03264_2-Hydroxy-4-methylpentanoate,LVRFTAZAXQPQHI-RXMQYKEDSA-N,HMDB0000665,C03264,CC(C)C[C@H](C(=O)O)O
"C01260_P1, P4-Di(adenosine-5') tetraphosphate",YOAHKNVSNCMZGQ-XPWFQUROSA-N,,C01260,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)N5C=NC6=C(N=CN=C65)N)O)O)O)O)N
C01015_Hydroxyproline,PMMYEEVYMWASQN-IMJSIDKUSA-N,HMDB0240251,C01015,C1[C@@H](CN[C@@H]1C(=O)O)O
C00197_3PG,OSJPPGNTCRNQQC-UWTATZPHSA-N,HMDB0000807,C00197,C([C@H](C(=O)O)O)OP(=O)(O)O
-_N-Acetylvaline,IHYJTAOFMMMOPX-UHFFFAOYSA-N,HMDB0011757,,CC(C)C(C(=O)O)NC(=O)C
C00954_Indole-3-acetate,SEOVTRFCIGRIMH-UHFFFAOYSA-N,HMDB0000197,C00954,C1=CC=C2C(=C1)C(=CN2)CC(=O)O
C00081_ITP,HAEJPQIATWHALX-KQYNXXCUSA-N,HMDB0000189,C00081,C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
C05584_4-Hydroxy-3-methoxymandelate,CGQCWMIAEPEHNQ-UHFFFAOYSA-N,HMDB0000291,C05584,COC1=C(C=CC(=C1)C(C(=O)O)O)O
C01020_6-Hydroxynicotinate,BLHCMGRVFXRYRN-UHFFFAOYSA-N,HMDB0002658,C01020,C1=CC(=O)NC=C1C(=O)O
C00295_Orotate,PXQPEWDEAKTCGB-UHFFFAOYSA-N,HMDB0000226,C00295,C1=C(NC(=O)NC1=O)C(=O)O
C00330_2'-Deoxyguanosine,YKBGVTZYEHREMT-KVQBGUIXSA-N,HMDB0000085,C00330,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC(=NC3=O)N)CO)O
C08279_Tiglate,UIERETOOQGIECD-ONEGZZNKSA-N,HMDB0001470,C08279,C/C=C(\C)/C(=O)O
C00458_dCTP,RGWHQCVHVJXOKC-SHYZEUOFSA-N,HMDB0000998,C00458,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O
C00263_Homoserine,UKAUYVFTDYCKQA-VKHMYHEASA-N,HMDB0000719,C00263,C(CO)[C@@H](C(=O)O)N
C03519_N-Acetylphenylalanine,CBQJSKKFNMDLON-JTQLQIEISA-N,HMDB0000512,C03519,CC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O
C02630_2-Hydroxyglutarate,HWXBTNAVRSUOJR-UHFFFAOYSA-N,HMDB0059655,C02630,C(CC(=O)O)C(C(=O)O)O
C00689_Trehalose 6-phosphate,LABSPYBHMPDTEL-LIZSDCNHSA-N,HMDB0001124,C00689,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O)O)O)O)O)O
C00993_Ala-Ala,DEFJQIDDEAULHB-SYPWQXSBSA-N,HMDB0003459,C00993,C[C@H](C(=O)NC(C)C(=O)O)N
C10172_Proline betaine,CMUNUTVVOOHQPW-LURJTMIESA-N,HMDB0004827,C10172,C[N+]1(CCC[C@H]1C(=O)[O-])C
C00082_Tyr,OUYCCCASQSFEME-QMMMGPOBSA-N,HMDB0000158,C00082,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O
C00371_trans-Zeatin,UZKQTCBAMSWPJD-FARCUNLSSA-N,HMDB0012204,C00371,C/C(=C\CNC1=NC=NC2=C1NC=N2)/CO
C00498_ADP-glucose,WFPZSXYXPSUOPY-ROYWQJLOSA-N,HMDB0006557,C00498,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)N
C06103_6-Hydroxyhexanoate,IWHLYPDWHHPVAA-UHFFFAOYSA-N,HMDB0012843,C06103,C(CCC(=O)O)CCO
C02341_trans-Aconitate,GTZCVFVGUGFEME-HNQUOIGGSA-N,HMDB0000958,C02341,C(/C(=C\C(=O)O)/C(=O)O)C(=O)O
C00805_o-Hydroxybenzoate,YGSDEFSMJLZEOE-UHFFFAOYSA-N,HMDB0001895,C00805,C1=CC=C(C(=C1)C(=O)O)O
C01089_3-Hydroxybutyrate,WHBMMWSBFZVSSR-GSVOUGTGSA-N,HMDB0000357,C01089,C[C@H](CC(=O)O)O
C00020_AMP,UDMBCSSLTHHNCD-KQYNXXCUSA-N,HMDB0000045,C00020,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N
C00213_Sarcosine,FSYKKLYZXJSNPZ-UHFFFAOYSA-N,HMDB0000271,C00213,CNCC(=O)O
C00329_Glucosamine,MSWZFWKMSRAUBD-IVMDWMLBSA-N,HMDB0001514,C00329,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)N)O)O)O
C00114_Choline,OEYIOHPDSNJKLS-UHFFFAOYSA-N,HMDB0000097,C00114,C[N+](C)(C)CCO
C04137_Octopine,IMXSCCDUAFEIOE-GDVGLLTNSA-N,,C04137,CC(C(=O)O)N[C@@H](CCCN=C(N)N)C(=O)O
C06524_Nornicotine,MYKUKUCHPMASKF-UHFFFAOYSA-N,HMDB0001126,C06524,C1CC(NC1)C2=CN=CC=C2
C05598_Phenaceturate,UTYVDVLMYQPLQB-UHFFFAOYSA-N,HMDB0000821,C05598,C1=CC=C(C=C1)CC(=O)NCC(=O)O
C03570_Mannosamine,MSWZFWKMSRAUBD-CBPJZXOFSA-N,,C03570,C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)N)O)O)O
C03375_Bis(3-aminopropyl)amine,OTBHHUPVCYLGQO-UHFFFAOYSA-N,HMDB0011634,C03375,C(CN)CNCCCN
"C06393_2,3-Diaminopropionate",PECYZEOJVXMISF-UHFFFAOYSA-N,HMDB0002006,C06393,C(C(C(=O)O)N)N
C00178_Thymine,RWQNBRDOKXIBIV-UHFFFAOYSA-N,HMDB0000262,C00178,CC1=CNC(=O)NC1=O
C02294_Methylguanidine,CHJJGSNFBQVOTG-UHFFFAOYSA-N,HMDB0001522,C02294,CN=C(N)N
C05635_5-Hydroxyindoleacetate,DUUGKQCEGZLZNO-UHFFFAOYSA-N,HMDB0000763,C05635,C1=CC2=C(C=C1O)C(=CN2)CC(=O)O
C08269_Betonicine,MUNWAHDYFVYIKH-RITPCOANSA-N,HMDB0029412,C08269,C[N+]1(C[C@@H](C[C@H]1C(=O)[O-])O)C
C00337_Dihydroorotate,UFIVEPVSAGBUSI-REOHCLBHSA-N,HMDB0000528,C00337,C1[C@H](NC(=O)NC1=O)C(=O)O
C03958_TRH,XNSAINXGIQZQOO-SRVKXCTJSA-N,HMDB0060080,C03958,C1C[C@H](N(C1)C(=O)[C@H](CC2=CN=CN2)NC(=O)[C@@H]3CCC(=O)N3)C(=O)N
C00147_Adenine,GFFGJBXGBJISGV-UHFFFAOYSA-N,HMDB0000034,C00147,C1=NC2=NC=NC(=C2N1)N
C00898_Tartrate,FEWJPZIEWOKRBE-JCYAYHJZSA-N,HMDB0000956,C00898,[C@@H]([C@H](C(=O)O)O)(C(=O)O)O
_Diazoxide,GDLBFKVLRPITMI-UHFFFAOYSA-N,HMDB0015251,C06949,CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl
C00637_Indole-3-acetaldehyde,WHOOUMGHGSPMGR-UHFFFAOYSA-N,HMDB0001190,C00637,C1=CC=C2C(=C1)C(=CN2)CC=O
C02693_Indole-3-acetamide,ZOAMBXDOGPRZLP-UHFFFAOYSA-N,HMDB0029739,C02693,C1=CC=C2C(=C1)C(=CN2)CC(=O)N
C01670_N-alpha-Benzenolarginine ethylester,YQDHCCVUYCIGSW-GFCCVEGCSA-N,,C01670,CCOC(=O)[C@@H](CCCN=C(N)N)NC(=O)C1=CC=CC=C1
C05660_5-Methoxyindoleacetate,COCNDHOPIHDTHK-UHFFFAOYSA-N,HMDB0004096,C05660,COC1=CC2=C(C=C1)NC=C2CC(=O)O
C00270_N-Acetylneuraminate,SQVRNKJHWKZAKO-LUWBGTNYSA-N,,C00270,CC(=O)N[C@@H]1[C@H](CC(O[C@H]1[C@@H]([C@@H](CO)O)O)(C(=O)O)O)O
C01073_N-Acetyl-beta-alanine,LJLLAWRMBZNPMO-UHFFFAOYSA-N,HMDB0061880,C01073,CC(=O)NCCC(=O)O
C01771_Crotonate,LDHQCZJRKDOVOX-NSCUHMNNSA-N,HMDB0010720,C01771,C/C=C/C(=O)O
C09816_Benzylsuccinate,GTOFKXZQQDSVFH-SECBINFHSA-N,HMDB0142179,C09816,C1=CC=C(C=C1)C[C@H](CC(=O)O)C(=O)O
C02376_5-Methylcytosine,LRSASMSXMSNRBT-UHFFFAOYSA-N,HMDB0002894,C02376,CC1=C(NC(=O)N=C1)N
C00024_Acetyl CoA,ZSLZBFCDCINBPY-ZSJPKINUSA-N,HMDB0001206,C00024,CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
C00455_NMN,DAYLJWODMCOQEW-TURQNECASA-N,HMDB0000229,C00455,C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)[O-])O)O)C(=O)N
C02037_Gly-Gly,YMAWOPBAYDPSLA-UHFFFAOYSA-N,HMDB0011733,C02037,C(C(=O)NCC(=O)O)N
C01008_Trimethylsulfonium,NRZWQKGABZFFKE-UHFFFAOYSA-N,HMDB0012295,C01008,C[S+](C)C
"C11003_2,4-Dimethylaniline",CZZZABOKJQXEBO-UHFFFAOYSA-N,,C11003,CC1=CC(=C(C=C1)N)C
C02273_Digalacturonate,IGSYEZFZPOZFNC-LKIWRGPLSA-N,HMDB0039721,C02273,[C@@H]1([C@H]([C@H](O[C@@H]([C@@H]1O)O[C@@H]2[C@@H]([C@H](C(O[C@@H]2C(=O)O)O)O)O)C(=O)O)O)O
C00258_Glycerate,RBNPOMFGQQGHHO-UWTATZPHSA-N,HMDB0000139,C00258,C([C@H](C(=O)O)O)O
C01103_Orotidine 5'-monophosphate,KYOBSHFOBAOFBF-XVFCMESISA-N,HMDB0000218,C01103,C1=C(N(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O)C(=O)O
C00606_Cysteine sulfinate,ADVPTQAUNPRNPO-REOHCLBHSA-N,HMDB0000996,C00606,C([C@@H](C(=O)O)N)S(=O)O
"C02354_2',3'-cCMP",NMPZCCZXCOMSDQ-XVFCMESISA-N,HMDB0011691,C02354,C1=CN(C(=O)N=C1N)[C@H]2[C@H]3[C@@H]([C@H](O2)CO)OP(=O)(O3)O
C03451_S-Lactoylglutathione,VDYDCVUWILIYQF-CSMHCCOUSA-N,HMDB0001066,C03451,C[C@H](C(=O)SC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)N)O
C08304_Gramine,OCDGBSUVYYVKQZ-UHFFFAOYSA-N,HMDB0035762,C08304,CN(C)CC1=CNC2=CC=CC=C21
C00311_Isocitrate,ODBLHEXUDAPZAU-UHFFFAOYSA-N,HMDB0000193,C00311,C(C(C(C(=O)O)O)C(=O)O)C(=O)O
C01013_3-Hydroxypropionate,ALRHLSYJTWAHJZ-UHFFFAOYSA-N,HMDB0000700,C01013,C(CO)C(=O)O
C00158_Citrate,KRKNYBCHXYNGOX-UHFFFAOYSA-N,HMDB0000094,C00158,C(C(=O)O)C(CC(=O)O)(C(=O)O)O
C00700_XTP,CAEFEWVYEZABLA-UUOKFMHZSA-N,HMDB0000293,C00700,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)NC(=O)NC2=O
C05127_1-Methylhistamine,FHQDWPCFSJMNCT-UHFFFAOYSA-N,HMDB0000898,C05127,CN1C=C(N=C1)CCN
C00091_Succinyl CoA,VNOYUJKHFWYWIR-ITIYDSSPSA-N,HMDB0001022,C00091,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O)O
C00120_Biotin,YBJHBAHKTGYVGT-ZKWXMUAHSA-N,HMDB0000030,C00120,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2
C01042_N-Acetylaspartate,OTCCIMWXFLJLIA-BYPYZUCNSA-N,HMDB0000812,C01042,CC(=O)N[C@@H](CC(=O)O)C(=O)O
C00642_p-Hydroxyphenylacetate,XQXPVVBIMDBYFF-UHFFFAOYSA-N,HMDB0000020,C00642,C1=CC(=CC=C1CC(=O)O)O
"C01182_Ribulose 1,5-diphosphate",YAHZABJORDUQGO-NQXXGFSBSA-N,,C01182,C([C@H]([C@H](C(=O)COP(=O)(O)O)O)O)OP(=O)(O)O
C05382_S7P,JDTUMPKOJBQPKX-GBNDHIKLSA-N,HMDB0001068,C05382,C([C@H]([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)O)OP(=O)(O)O
C00780_Serotonin,QZAYGJVTTNCVMB-UHFFFAOYSA-N,HMDB0000259,C00780,C1=CC2=C(C=C1O)C(=CN2)CCN
C00366_Urate,LEHOTFFKMJEONL-UHFFFAOYSA-N,HMDB0000289,C00366,C12=C(NC(=O)N1)NC(=O)NC2=O
C01598_Melatonin,DRLFMBDRBRZALE-UHFFFAOYSA-N,HMDB0001389,C01598,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC
C01198_3-(2-Hydroxyphenyl)propionate,CJBDUOMQLFKVQC-UHFFFAOYSA-N,HMDB0033752,C01198,C1=CC=C(C(=C1)CCC(=O)O)O
C00632_3-Hydroxyanthranilate,WJXSWCUQABXPFS-UHFFFAOYSA-N,HMDB0001476,C00632,C1=CC(=C(C(=C1)O)N)C(=O)O
C00352_Glucosamine 6-phosphate,XHMJOUIAFHJHBW-IVMDWMLBSA-N,HMDB0001254,C00352,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)N)O)O)OP(=O)(O)O
C01586_Hippurate,QIAFMBKCNZACKA-UHFFFAOYSA-N,HMDB0000714,C01586,C1=CC=C(C=C1)C(=O)NCC(=O)O
C11527_4-Hydroxymandelate,YHXHKYRQLYQUIH-UHFFFAOYSA-N,HMDB0000822,C11527,C1=CC(=CC=C1C(C(=O)O)O)O
C02291_Cystathionine,ILRYLPWNYFXEMH-WHFBIAKZSA-N,HMDB0000099,C02291,C(CSC[C@@H](C(=O)O)N)[C@@H](C(=O)O)N
C00942_cGMP,ZOOGRGPOEVQQDX-UUOKFMHZSA-N,HMDB0001314,C00942,C1[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3NC(=NC4=O)N)O)OP(=O)(O1)O
C01346_dUDP,QHWZTVCCBMIIKE-SHYZEUOFSA-N,HMDB0001000,C01346,C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)(O)OP(=O)(O)O)O
C00106_Uracil,ISAKRJDGNUQOIC-UHFFFAOYSA-N,HMDB0000300,C00106,C1=CNC(=O)NC1=O
"C01026_N,N-Dimethylglycine",FFDGPVCHZBVARC-UHFFFAOYSA-N,HMDB0000092,C01026,CN(C)CC(=O)O
C00127_Glutathione(ox),YPZRWBKMTBYPTK-BJDJZHNGSA-N,HMDB0003337,C00127,C(CC(=O)N[C@@H](CSSC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)N)C(=O)NCC(=O)O)[C@@H](C(=O)O)N
C02794_3-Hydroxykynurenine,VCKPUUFAIGNJHC-UHFFFAOYSA-N,HMDB0000732,C02794,C1=CC(=C(C(=C1)O)N)C(=O)CC(C(=O)O)N
C02614_Citramalate,XFTRTWQBIOMVPK-YFKPBYRVSA-N,HMDB0000426,C02614,C[C@](CC(=O)O)(C(=O)O)O
C04501_N-Acetylglucosamine 1-phosphate,FZLJPEPAYPUMMR-FMDGEEDCSA-N,HMDB0001367,C04501,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1OP(=O)(O)O)CO)O)O
C05629_3-Phenylpropionate,XMIIGOLPHOKFCH-UHFFFAOYSA-N,HMDB0000764,C05629,C1=CC=C(C=C1)CCC(=O)O
C00002_ATP,ZKHQWZAMYRWXGA-KQYNXXCUSA-N,HMDB0000538,C00002,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N
C00073_Met,FFEARJCKVFRZRR-BYPYZUCNSA-N,HMDB0000696,C00073,CSCC[C@@H](C(=O)O)N
C08737_Melamine,JDSHMPZPIAZGSV-UHFFFAOYSA-N,HMDB0041922,C08737,C1(=NC(=NC(=N1)N)N)N
C00791_Creatinine,DDRJAANPRJIHGJ-UHFFFAOYSA-N,HMDB0000562,C00791,CN1CC(=O)N=C1N
C00005_NADPH,ACFIXJIJDZMPPO-NNYOXOHSSA-N,HMDB0000217,C00005,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O
C00547_Noradrenaline,SFLSHLFXELFNJZ-QMMMGPOBSA-N,HMDB0000216,C00547,C1=CC(=C(C=C1[C@H](CN)O)O)O
C00242_Guanine,UYTPUPDQBNUYGX-UHFFFAOYSA-N,HMDB0000132,C00242,C1=NC2=C(N1)C(=O)N=C(N2)N
C01419_Cys-Gly,ZUKPVRWZDMRIEO-VKHMYHEASA-N,HMDB0000078,C01419,C([C@@H](C(=O)NCC(=O)O)N)S
C02679_Dodecanoate,POULHZVOKOAJMA-UHFFFAOYSA-N,HMDB0000638,C02679,CCCCCCCCCCCC(=O)O
C00437_N-Acetylornithine,JRLGPAXAGHMNOL-LURJTMIESA-N,HMDB0003357,C00437,CC(=O)N[C@@H](CCCN)C(=O)O
C00086_Urea,XSQUKJJJFZCRTK-UHFFFAOYSA-N,HMDB0000294,C00086,C(=O)(N)N
C08277_Sebacate,CXMXRPHRNRROMY-UHFFFAOYSA-N,HMDB0000792,C08277,C(CCCCC(=O)O)CCCC(=O)O
C04483_DCA,KXGVEGMKQFWNSR-LLQZFEROSA-N,HMDB0000626,C04483,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C
C00429_Dihydrouracil,OIVLITBTBDPEFK-UHFFFAOYSA-N,HMDB0000076,C00429,C1CNC(=O)NC1=O
C06369_2-Deoxyglucose 6-phosphate,UQJFZAAGZAYVKZ-CERMHHMHSA-N,,C06369,C1[C@H]([C@@H]([C@H](OC1O)COP(=O)(O)O)O)O
C02712_N-Acetylmethionine,XUYPXLNMDZIRQH-LURJTMIESA-N,HMDB0011745,C02712,CC(=O)N[C@@H](CCSC)C(=O)O
C01879_5-Oxoproline,ODHCTXKNWHHXJC-VKHMYHEASA-N,HMDB0000267,C01879,C1CC(=O)N[C@@H]1C(=O)O
C11016_Diphenylamine,DMBHHRLKUKUOEG-UHFFFAOYSA-N,HMDB0032562,C11016,C1=CC=C(C=C1)NC2=CC=CC=C2
C10865_Pseudopelletierine,RHWSKVCZXBAWLZ-UHFFFAOYSA-N,HMDB0034580,C10865,CN1C2CCCC1CC(=O)C2
C00296_Quinate,AAWZDTNXLSGCEK-WYWMIBKRSA-N,HMDB0003072,C00296,
C00943_cIMP,DMJWGQPYNRPLGA-KQYNXXCUSA-N,,C00943,C1[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3NC=NC4=O)O)OP(=O)(O1)O
C00301_ADP-ribose,SRNWOUGRCWSEMX-KEOHHSTQSA-N,HMDB0001178,C00301,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)O)O)O)O)O)N
C00191_Glucuronate,AEMOLEFTQBMNLQ-AQKNRBDQSA-N,HMDB0000127,C00191,[C@@H]1([C@@H]([C@H](OC([C@@H]1O)O)C(=O)O)O)O
C00286_dGTP,HAAZLUGHYHWQIW-KVQBGUIXSA-N,HMDB0001440,C00286,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC(=NC3=O)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O
C00407_Ile,AGPKZVBTJJNPAG-WHFBIAKZSA-N,HMDB0000172,C00407,CC[C@H](C)[C@@H](C(=O)O)N
C10600_Ibotenate,IRJCBFDCFXCWGO-UHFFFAOYSA-N,,C10600,C1=C(ONC1=O)C(C(=O)O)N
C01004_Trigonelline,WWNNZCOKKKDOPX-UHFFFAOYSA-N,HMDB0000875,C01004,C[N+]1=CC=CC(=C1)C(=O)[O-]
C00884_Homocarnosine,CCLQKVKJOGVQLU-QMMMGPOBSA-N,HMDB0000745,C00884,C1=C(NC=N1)C[C@@H](C(=O)O)NC(=O)CCCN
C00483_Tyramine,DZGWFCGJZKJUFP-UHFFFAOYSA-N,HMDB0000306,C00483,C1=CC(=CC=C1CCN)O
C02567_N1-Acetylspermine_div,GUNURVWAJRRUAV-UHFFFAOYSA-N,HMDB0001186,C02567,CC(=O)NCCCNCCCCNCCCN
C00328_Kynurenine,YGPSJZOEDVAXAB-QMMMGPOBSA-N,HMDB0000684,C00328,C1=CC=C(C(=C1)C(=O)C[C@@H](C(=O)O)N)N
